UITVOERDER;TITEL;;;;;;;;;;;;Uitvoerder;Titel
Coldplay;In My Place;;;;;;;;;;;;Coldplay;*In My Place
Coldplay;Paradise;;;;;;;;;;;;Coldplay;*Paradise
Coldplay;Speed Of Sound;;;;;;;;;;;;Coldplay;*Speed Of Sound
Coldplay;Talk;;;;;;;;;;;;Coldplay;*Talk
Coldplay;The Hardest Part;;;;;;;;;;;;Coldplay;*The Hardest Part
Coldplay;The Scientist;;;;;;;;;;;;Coldplay;*The Scientist
Coldplay;Trouble;;;;;;;;;;;;Coldplay;*Trouble
Coldplay;Violet Hill;;;;;;;;;;;;Coldplay;*Violet Hill
Coldplay;Viva La Vida;;;;;;;;;;;;Coldplay;*Viva La Vida
Coldplay;Yellow;;;;;;;;;;;;Coldplay;*Yellow
Coldplay ft. Beyoncé;Hymn for the weekend;;;;;;;;;;;;Coldplay ft. Beyoncé;*Hymn for the weekend
Color Me Badd;I Wanna Sex You up;;;;;;;;;;;;Color Me Badd;*I Wanna Sex You up
Commodores;Easy;;;;;;;;;;;;Commodores;*Easy
Commodores;Nightshift;;;;;;;;;;;;Commodores;*Nightshift
Confetti's;Sound Of C;;;;;;;;;;;;Confetti's;*Sound Of C
Contours;Do You Love Me (Billy);;;;;;;;;;;;Contours;*Do You Love Me (Billy)
Corinne Bailey Rae;Put Your Records On;;;;;;;;;;;;Corinne Bailey Rae;*Put Your Records On
Corona;The rhythm of the night;;;;;;;;;;;;Corona;*The rhythm of the night
Counting Crows;Accidentally in love;;;;;;;;;;;;Counting Crows;*Accidentally in love
Counting Crows;Mr. Jones;;;;;;;;;;;;Counting Crows;*Mr. Jones
Craig David;Walking Away;;;;;;;;;;;;Craig David;*Walking Away
Craig David ft. Sting;Rise And Fall (duet);;;;;;;;;;;;Craig David ft. Sting;*Rise And Fall (duet)
Cranberries;Linger;;;;;;;;;;;;Cranberries;*Linger
Cranberries;Ode To My Family;;;;;;;;;;;;Cranberries;*Ode To My Family
Cranberries;Zombie;;;;;;;;;;;;Cranberries;*Zombie
Crash Test Dummies;MMM MMM MMM MMM MMM;;;;;;;;;;;;Crash Test Dummies;*MMM MMM MMM MMM MMM
Creed;Higher;;;;;;;;;;;;Creed;*Higher
Creed;With arms wide open;;;;;;;;;;;;Creed;*With arms wide open
Creedence Clearwater Revival;Born On The Bayou;;;;;;;;;;;;Creedence Clearwater Revival;*Born On The Bayou
Creedence Clearwater Revival;Fortunate Son;;;;;;;;;;;;Creedence Clearwater Revival;*Fortunate Son
Creedence Clearwater Revival;I Heard It Through The Grapevine;;;;;;;;;;;;Creedence Clearwater Revival;*I Heard It Through The Grapevine
Creedence Clearwater Revival;Travelin' Band;;;;;;;;;;;;Creedence Clearwater Revival;*Travelin' Band
Creedence Clearwater Revival;Up Around the Bend;;;;;;;;;;;;Creedence Clearwater Revival;*Up Around the Bend
Crowded House;Better be home soon;;;;;;;;;;;;Crowded House;*Better be home soon
Crowded House;Don't Dream It's Over;;;;;;;;;;;;Crowded House;*Don't Dream It's Over
Crush 40;Open Your Heart;;;;;;;;;;;;Crush 40;*Open Your Heart
Cult;She sells sanctuary;;;;;;;;;;;;Cult;*She sells sanctuary
Culture Club;Church of the Poison Mind;;;;;;;;;;;;Culture Club;*Church of the Poison Mind
Culture Club;Do You Really Want To Hurt Me;;;;;;;;;;;;Culture Club;*Do You Really Want To Hurt Me
Culture Club;Move away;;;;;;;;;;;;Culture Club;*Move away
Culture Club;The War Song;;;;;;;;;;;;Culture Club;*The War Song
Cure;A Forest;;;;;;;;;;;;Cure;*A Forest
Cure;A letter to Elise;;;;;;;;;;;;Cure;*A letter to Elise
Cure;Boys Don't Cry;;;;;;;;;;;;Cure;*Boys Don't Cry
Cure;Close to Me;;;;;;;;;;;;Cure;*Close to Me
Cure;Friday I'm In Love;;;;;;;;;;;;Cure;*Friday I'm In Love
Cure;In Between Days;;;;;;;;;;;;Cure;*In Between Days
Cure;Just Like Heaven;;;;;;;;;;;;Cure;*Just Like Heaven
Cure;Lullaby;;;;;;;;;;;;Cure;*Lullaby
Cure;The Lovecats;;;;;;;;;;;;Cure;*The Lovecats
Cutting Crew;Died In Your Arms;;;;;;;;;;;;Cutting Crew;*Died In Your Arms
Cyndi Lauper;Girls Just Wanna Have Fun;;;;;;;;;;;;Cyndi Lauper;*Girls Just Wanna Have Fun
Cyndi Lauper;I Drove All Night;;;;;;;;;;;;Cyndi Lauper;*I Drove All Night
Cyndi Lauper;Time After Time;;;;;;;;;;;;Cyndi Lauper;*Time After Time
Cyndi Lauper;True Colors;;;;;;;;;;;;Cyndi Lauper;*True Colors
CYRIL;Stumblin’ In;;;;;;;;;;;;CYRIL;*Stumblin’ In
Daft Punk;Around The World;;;;;;;;;;;;Daft Punk;*Around The World
Daft Punk;Digital Love;;;;;;;;;;;;Daft Punk;*Digital Love
Daft Punk;Get Lucky;;;;;;;;;;;;Daft Punk;*Get Lucky
Daft Punk;One More Time;;;;;;;;;;;;Daft Punk;*One More Time
Damien Rice ;9 Crimes;;;;;;;;;;;;Damien Rice ;*9 Crimes
Damien Rice ;The Blower's Daughter;;;;;;;;;;;;Damien Rice ;*The Blower's Daughter
Dan Hartman;Relight my fire;;;;;;;;;;;;Dan Hartman;*Relight my fire
Dana;Cold, Cold Christmas;;;;;;;;;;;;Dana;*Cold, Cold Christmas
Dandy Warhols;Bohemian Like You;;;;;;;;;;;;Dandy Warhols;*Bohemian Like You
Daniel Bedingfield;If You're Not the One;;;;;;;;;;;;Daniel Bedingfield;*If You're Not the One
Daniel Powter;Bad Day;;;;;;;;;;;;Daniel Powter;*Bad Day
Dannii Minogue;I Begin To Wonder;;;;;;;;;;;;Dannii Minogue;*I Begin To Wonder
Dante Thomas ft. Pras;Miss California;;;;;;;;;;;;Dante Thomas ft. Pras;*Miss California
Darkness;I Believe in a Thing Called Love;;;;;;;;;;;;Darkness;*I Believe in a Thing Called Love
Daryl Hall & John Oates;Maneater;;;;;;;;;;;;Daryl Hall & John Oates;*Maneater
David Bowie;Ashes to ashes;;;;;;;;;;;;David Bowie;*Ashes to ashes
David Bowie;Blue Jean;;;;;;;;;;;;David Bowie;*Blue Jean
David Bowie;Changes;;;;;;;;;;;;David Bowie;*Changes
David Bowie;China Girl;;;;;;;;;;;;David Bowie;*China Girl
David Bowie;Fame;;;;;;;;;;;;David Bowie;*Fame
David Bowie;Heroes;;;;;;;;;;;;David Bowie;*Heroes
David Bowie;Let's Dance;;;;;;;;;;;;David Bowie;*Let's Dance
David Bowie;Life On Mars;;;;;;;;;;;;David Bowie;*Life On Mars
David Bowie;Modern Love;;;;;;;;;;;;David Bowie;*Modern Love
David Bowie;Rebel Rebel;;;;;;;;;;;;David Bowie;*Rebel Rebel
David Bowie;Space Oddity;;;;;;;;;;;;David Bowie;*Space Oddity
David Bowie;Starman;;;;;;;;;;;;David Bowie;*Starman
David Bowie;Ziggy Stardust;;;;;;;;;;;;David Bowie;*Ziggy Stardust
David Guetta;Love don't let me go;;;;;;;;;;;;David Guetta;*Love don't let me go
David Guetta & Chris Willis;Gettin' over You;;;;;;;;;;;;David Guetta & Chris Willis;*Gettin' over You
David Guetta & Sia;Flames;;;;;;;;;;;;David Guetta & Sia;*Flames
David Guetta & Sia;She Wolf (Falling To Pieces);;;;;;;;;;;;David Guetta & Sia;*She Wolf (Falling To Pieces)
David Guetta & Sia;Titanium;;;;;;;;;;;;David Guetta & Sia;*Titanium
David Guetta ft. Akon;Sexy Bitch;;;;;;;;;;;;David Guetta ft. Akon;*Sexy Bitch
David Guetta ft. Chris Willis;Love Is Gone;;;;;;;;;;;;David Guetta ft. Chris Willis;*Love Is Gone
David Guetta ft. Flo Rida & Nicki M;Where Them Girls At;;;;;;;;;;;;David Guetta ft. Flo Rida & Nicki M;*Where Them Girls At
David Guetta ft. Kelly Rowland;When love takes over;;;;;;;;;;;;David Guetta ft. Kelly Rowland;*When love takes over
David Guetta ft. Kid Cudi;Memories;;;;;;;;;;;;David Guetta ft. Kid Cudi;*Memories
David Guetta ft. Zara Larsson;This One's For You;;;;;;;;;;;;David Guetta ft. Zara Larsson;*This One's For You
David Guetta, Anne Marie, Coi Leray ;Baby Don’t Hurt Me;;;;;;;;;;;;David Guetta, Anne Marie, Coi Leray ;*Baby Don’t Hurt Me
David Lee Roth;Just A Gigolo / Ain't Got Nobody;;;;;;;;;;;;David Lee Roth;*Just A Gigolo / Ain't Got Nobody
De Aristokatten;Niemand Swingt Zoals Een Echte Kat;;;;;;;;;;;;De Aristokatten;*Niemand Swingt Zoals Een Echte Kat
De Kleine Zeemeermin;Diep In De Zee;;;;;;;;;;;;De Kleine Zeemeermin;*Diep In De Zee
De Kreuners;Het Regent Meer Dan Vroeger;;;;;;;;;;;;De Kreuners;*Het Regent Meer Dan Vroeger
De Kreuners;Ik Wil Je;;;;;;;;;;;;De Kreuners;*Ik Wil Je
Dead or Alive;You Spin Me Round (Like A Record;;;;;;;;;;;;Dead or Alive;*You Spin Me Round (Like A Record
Dean Lewis;Be Alright;;;;;;;;;;;;Dean Lewis;*Be Alright
Dean Lewis ;How Do I Say Goodbye;;;;;;;;;;;;Dean Lewis ;*How Do I Say Goodbye
Dean Martin;Let it snow! Let it snow! Let it snow!;;;;;;;;;;;;Dean Martin;*Let it snow! Let it snow! Let it snow!
Dean Martin;Rudolph the red nosed reindeer;;;;;;;;;;;;Dean Martin;*Rudolph the red nosed reindeer
Debbie Gibson;Foolish Beat;;;;;;;;;;;;Debbie Gibson;*Foolish Beat
Debbie Gibson;Lost in your eyes;;;;;;;;;;;;Debbie Gibson;*Lost in your eyes
Deborah Harry ;I want that man;;;;;;;;;;;;Deborah Harry ;*I want that man
Deee-lite;Groove is in the Heart;;;;;;;;;;;;Deee-lite;*Groove is in the Heart
Deep Blue Something;Breakfast At Tiffany's;;;;;;;;;;;;Deep Blue Something;*Breakfast At Tiffany's
Deep Purple;Smoke On The Water;;;;;;;;;;;;Deep Purple;*Smoke On The Water
Def Leppard ;Animal;;;;;;;;;;;;Def Leppard ;*Animal
Def Leppard ;Photograph;;;;;;;;;;;;Def Leppard ;*Photograph
Def Leppard ;Pour Some Sugar On Me;;;;;;;;;;;;Def Leppard ;*Pour Some Sugar On Me
DeltaGoodrem;YouWillOnlyBreakMyHeart;;;;;;;;;;;;DeltaGoodrem;*YouWillOnlyBreakMyHeart
Demi Lovato;Confident;;;;;;;;;;;;Demi Lovato;*Confident
Demi Lovato;Cool For The Summer;;;;;;;;;;;;Demi Lovato;*Cool For The Summer
Demi Lovato;Give Your Heart A Break;;;;;;;;;;;;Demi Lovato;*Give Your Heart A Break
Demi Lovato;Heart Attack;;;;;;;;;;;;Demi Lovato;*Heart Attack
Demi Lovato;Let It Go;;;;;;;;;;;;Demi Lovato;*Let It Go
Demi Lovato;Sorry Not Sorry;;;;;;;;;;;;Demi Lovato;*Sorry Not Sorry
Depeche Mode;Dream On;;;;;;;;;;;;Depeche Mode;*Dream On
Depeche Mode;Enjoy The Silence;;;;;;;;;;;;Depeche Mode;*Enjoy The Silence
Depeche Mode;Everything counts;;;;;;;;;;;;Depeche Mode;*Everything counts
Depeche Mode;Just Can´t Get Enough;;;;;;;;;;;;Depeche Mode;*Just Can´t Get Enough
Depeche Mode;Master and servant;;;;;;;;;;;;Depeche Mode;*Master and servant
Depeche Mode;People are people;;;;;;;;;;;;Depeche Mode;*People are people
Depeche Mode;Personal Jesus;;;;;;;;;;;;Depeche Mode;*Personal Jesus
Depeche Mode;Policy of Truth;;;;;;;;;;;;Depeche Mode;*Policy of Truth
Depeche Mode;Strangelove;;;;;;;;;;;;Depeche Mode;*Strangelove
Dermot Kennedy ;Power Over Me;;;;;;;;;;;;Dermot Kennedy ;*Power Over Me
Desireless;Voyage Voyage;;;;;;;;;;;;Desireless;*Voyage Voyage
Des'ree;Life;;;;;;;;;;;;Des'ree;*Life
Destiny's Child;Bootylicious;;;;;;;;;;;;Destiny's Child;*Bootylicious
Destiny's Child;Say My Name;;;;;;;;;;;;Destiny's Child;*Say My Name
Destiny's Child;Survivor;;;;;;;;;;;;Destiny's Child;*Survivor
Devo;Whip it;;;;;;;;;;;;Devo;*Whip it
Dexy's Midnight Runners;Come On Eileen;;;;;;;;;;;;Dexy's Midnight Runners;*Come On Eileen
Diana Ross;Chain Reaction;;;;;;;;;;;;Diana Ross;*Chain Reaction
Diana Ross;I'm Coming Out;;;;;;;;;;;;Diana Ross;*I'm Coming Out
Diana Ross;Upside down;;;;;;;;;;;;Diana Ross;*Upside down
Diana Ross & The Supremes;Reflections;;;;;;;;;;;;Diana Ross & The Supremes;*Reflections
Diana Ross And The Supremes;Baby Love;;;;;;;;;;;;Diana Ross And The Supremes;*Baby Love
Dido;Here With Me;;;;;;;;;;;;Dido;*Here With Me
Dido;Hunter;;;;;;;;;;;;Dido;*Hunter
Dido;Hurricanes;;;;;;;;;;;;Dido;*Hurricanes
Dido;Life For Rent;;;;;;;;;;;;Dido;*Life For Rent
Dido;Sand in my shoes;;;;;;;;;;;;Dido;*Sand in my shoes
Dido;Thank You;;;;;;;;;;;;Dido;*Thank You
Dido;White Flag;;;;;;;;;;;;Dido;*White Flag
Dieter Thomas Kuhn;Und es war Sommer;;;;;;;;;;;;Dieter Thomas Kuhn;*Und es war Sommer
Dinosaur Jr.;Feel the pain;;;;;;;;;;;;Dinosaur Jr.;*Feel the pain
Dion;Runaround Sue;;;;;;;;;;;;Dion;*Runaround Sue
Dionne & Friends;That's What Friends Are For;;;;;;;;;;;;Dionne & Friends;*That's What Friends Are For
Dire Straits;Brothers In Arms;;;;;;;;;;;;Dire Straits;*Brothers In Arms
Dire Straits;Money for Nothing;;;;;;;;;;;;Dire Straits;*Money for Nothing
Dire Straits;Sultans of Swing;;;;;;;;;;;;Dire Straits;*Sultans of Swing
Dire Straits;Walk of Life;;;;;;;;;;;;Dire Straits;*Walk of Life
Disturbed;The Sound Of Silence;;;;;;;;;;;;Disturbed;*The Sound Of Silence
Divinyls;I Touch Myself;;;;;;;;;;;;Divinyls;*I Touch Myself
Dixie Chicks;Not Ready To Make Nice;;;;;;;;;;;;Dixie Chicks;*Not Ready To Make Nice
DJ Bobo;Chihuahua 2002;;;;;;;;;;;;DJ Bobo;*Chihuahua 2002
DJ Jazzy Jeff &amp;Summertime;;;;;;;;;;;;DJ Jazzy Jeff &amp;*Summertime
DJ Otzi;Anton;;;;;;;;;;;;DJ Otzi;*Anton
DJ Ötzi;Hey Baby;;;;;;;;;;;;DJ Ötzi;*Hey Baby
DJ Ötzi & Nik P.;Ein Stern (Der Deinen Namen Trägt);;;;;;;;;;;;DJ Ötzi & Nik P.;*Ein Stern (Der Deinen Namen Trägt)
DÖF;Codo (Ich düse im Sauseschritt) (duet);;;;;;;;;;;;DÖF;*Codo (Ich düse im Sauseschritt) (duet)
Dolly Dots;Do wah diddy diddy;;;;;;;;;;;;Dolly Dots;*Do wah diddy diddy
Dolly Dots;Radio;;;;;;;;;;;;Dolly Dots;*Radio
Dolly Parton;9 To 5;;;;;;;;;;;;Dolly Parton;*9 To 5
Dolly Parton;Jolene;;;;;;;;;;;;Dolly Parton;*Jolene
Don Henley;The Boys of Summer;;;;;;;;;;;;Don Henley;*The Boys of Summer
Don McLean;American Pie;;;;;;;;;;;;Don McLean;*American Pie
Don Omar ft. Lucenzo;Danza Kuduro;;;;;;;;;;;;Don Omar ft. Lucenzo;*Danza Kuduro
Donna Summer;Hot Stuff;;;;;;;;;;;;Donna Summer;*Hot Stuff
Donna Summer;I Feel Love;;;;;;;;;;;;Donna Summer;*I Feel Love
Donna Summer;Last dance;;;;;;;;;;;;Donna Summer;*Last dance
Donna Summer;She Works Hard For The Money;;;;;;;;;;;;Donna Summer;*She Works Hard For The Money
Doobie Brothers;What a fool believes;;;;;;;;;;;;Doobie Brothers;*What a fool believes
Doors;Light my fire;;;;;;;;;;;;Doors;*Light my fire
Doors;Riders on the storm;;;;;;;;;;;;Doors;*Riders on the storm
Doors;The Doors Break On Through;;;;;;;;;;;;Doors;*The Doors Break On Through
Doris Day;Que sera, sera;;;;;;;;;;;;Doris Day;*Que sera, sera
Double You;Please don't go;;;;;;;;;;;;Double You;*Please don't go
Dove Cameron;Better In Stereo (TV);;;;;;;;;;;;Dove Cameron;*Better In Stereo (TV)
Dr. Alban;Look who´s talking;;;;;;;;;;;;Dr. Alban;*Look who´s talking
Dr. Alban;Sing Hallelujah;;;;;;;;;;;;Dr. Alban;*Sing Hallelujah
Dr. Hook;In love with a beautiful woman;;;;;;;;;;;;Dr. Hook;*In love with a beautiful woman
Drukwerk;Carolien;;;;;;;;;;;;Drukwerk;*Carolien
Dschinghis Kahn;DschinghisKahn;;;;;;;;;;;;Dschinghis Kahn;*DschinghisKahn
Dschinghis Khan;Dschinghis Khan;;;;;;;;;;;;Dschinghis Khan;*Dschinghis Khan
Dua Lipa;Be The One;;;;;;;;;;;;Dua Lipa;*Be The One
Dua Lipa;Break My Heart;;;;;;;;;;;;Dua Lipa;*Break My Heart
Dua Lipa;Don't Start Now;;;;;;;;;;;;Dua Lipa;*Don't Start Now
Dua Lipa;Hotter Than Hell;;;;;;;;;;;;Dua Lipa;*Hotter Than Hell
Dua Lipa;IDGAF;;;;;;;;;;;;Dua Lipa;*IDGAF
Dua Lipa;New Rules;;;;;;;;;;;;Dua Lipa;*New Rules
Dua Lipa;Physical;;;;;;;;;;;;Dua Lipa;*Physical
Dua Lipa and Angèle;Fever (+ duet);;;;;;;;;;;;Dua Lipa and Angèle;*Fever (+ duet)
Dua Lipa ft. DaBaby;Levitating;;;;;;;;;;;;Dua Lipa ft. DaBaby;*Levitating
Duck Sauce;Barbra Streisand;;;;;;;;;;;;Duck Sauce;*Barbra Streisand
Duffy;Mercy ;;;;;;;;;;;;Duffy;*Mercy 
Duffy;Warwick Avenue;;;;;;;;;;;;Duffy;*Warwick Avenue
Duncan Laurence;Arcade;;;;;;;;;;;;Duncan Laurence;*Arcade
Duran Duran;A view to a kill;;;;;;;;;;;;Duran Duran;*A view to a kill
Duran Duran;Come Undone;;;;;;;;;;;;Duran Duran;*Come Undone
Duran Duran;Girls on film;;;;;;;;;;;;Duran Duran;*Girls on film
Duran Duran;Hungry Like The Wolf;;;;;;;;;;;;Duran Duran;*Hungry Like The Wolf
Duran Duran;Notorious;;;;;;;;;;;;Duran Duran;*Notorious
Duran Duran;Ordinary World;;;;;;;;;;;;Duran Duran;*Ordinary World
Duran Duran;Rio;;;;;;;;;;;;Duran Duran;*Rio
Duran Duran;Save a Prayer;;;;;;;;;;;;Duran Duran;*Save a Prayer
Duran Duran;The Reflex;;;;;;;;;;;;Duran Duran;*The Reflex
Duran Duran;The Wild Boys;;;;;;;;;;;;Duran Duran;*The Wild Boys
Dusty Springfield;In Private;;;;;;;;;;;;Dusty Springfield;*In Private
Dusty Springfield;Son of a Preacher Man;;;;;;;;;;;;Dusty Springfield;*Son of a Preacher Man
Eagle-Eye Cherry;Save Tonight;;;;;;;;;;;;Eagle-Eye Cherry;*Save Tonight
Earth and Fire;Weekend;;;;;;;;;;;;Earth and Fire;*Weekend
Earth Wind & Fire;September '99;;;;;;;;;;;;Earth Wind & Fire;*September '99
Earth, Wind & Fire;After the love has gone;;;;;;;;;;;;Earth, Wind & Fire;*After the love has gone
Earth, Wind & Fire;Boogie Wonderland;;;;;;;;;;;;Earth, Wind & Fire;*Boogie Wonderland
Earth, Wind & Fire;Fantasy;;;;;;;;;;;;Earth, Wind & Fire;*Fantasy
Earth, Wind & Fire;September;;;;;;;;;;;;Earth, Wind & Fire;*September
Earth, Wind & Fire;Shining Star;;;;;;;;;;;;Earth, Wind & Fire;*Shining Star
East17;Let It Rain;;;;;;;;;;;;East17;*Let It Rain
East17;Stay Another Day;;;;;;;;;;;;East17;*Stay Another Day
Easybeats;Friday On My Mind;;;;;;;;;;;;Easybeats;*Friday On My Mind
Ed Sheeran;Afterglow;;;;;;;;;;;;Ed Sheeran;*Afterglow
Ed Sheeran;Bad habits;;;;;;;;;;;;Ed Sheeran;*Bad habits
Ed Sheeran;Castle On The Hill;;;;;;;;;;;;Ed Sheeran;*Castle On The Hill
Ed Sheeran;Galway Girl;;;;;;;;;;;;Ed Sheeran;*Galway Girl
Ed Sheeran;Give Me Love;;;;;;;;;;;;Ed Sheeran;*Give Me Love
Ed Sheeran;Lego House;;;;;;;;;;;;Ed Sheeran;*Lego House
Ed Sheeran;Perfect;;;;;;;;;;;;Ed Sheeran;*Perfect
Ed Sheeran;Photograph;;;;;;;;;;;;Ed Sheeran;*Photograph
Ed Sheeran;Shape of you;;;;;;;;;;;;Ed Sheeran;*Shape of you
Ed Sheeran;Shivers;;;;;;;;;;;;Ed Sheeran;*Shivers
Ed Sheeran;Sing;;;;;;;;;;;;Ed Sheeran;*Sing
Ed Sheeran;Thinking out loud;;;;;;;;;;;;Ed Sheeran;*Thinking out loud
Ed Sheeran ;Eyes Closed;;;;;;;;;;;;Ed Sheeran ;*Eyes Closed
Ed Sheeran and Justin Bieber;I don't care (+ duet);;;;;;;;;;;;Ed Sheeran and Justin Bieber;*I don't care (+ duet)
Eddie Cochran;C'mon Everybody;;;;;;;;;;;;Eddie Cochran;*C'mon Everybody
Eddie Vedder;Society;;;;;;;;;;;;Eddie Vedder;*Society
Eddy Grant;Gimme Hope Jo'anna;;;;;;;;;;;;Eddy Grant;*Gimme Hope Jo'anna
Eddy Grant;I Don't Wanna Dance;;;;;;;;;;;;Eddy Grant;*I Don't Wanna Dance
Edith Piaf;La Vie En Rose;;;;;;;;;;;;Edith Piaf;*La Vie En Rose
Edith Piaf;Non je ne regrette rien;;;;;;;;;;;;Edith Piaf;*Non je ne regrette rien
Editors;Munich;;;;;;;;;;;;Editors;*Munich
Editors;Smokers Outside The Hospital Doors;;;;;;;;;;;;Editors;*Smokers Outside The Hospital Doors
Edwin Starr;War;;;;;;;;;;;;Edwin Starr;*War
Eiffel 65;Blue;;;;;;;;;;;;Eiffel 65;*Blue
Eighth Wonder;I'm Not Scared;;;;;;;;;;;;Eighth Wonder;*I'm Not Scared
Elaine Paige;Memory;;;;;;;;;;;;Elaine Paige;*Memory
Electric Light Orchestra;Don't bring me down;;;;;;;;;;;;Electric Light Orchestra;*Don't bring me down
Electric Light Orchestra;Mr. Blue Sky;;;;;;;;;;;;Electric Light Orchestra;*Mr. Blue Sky
Electric Light Orchestra;Rock'n'Roll Is King;;;;;;;;;;;;Electric Light Orchestra;*Rock'n'Roll Is King
Electric Light Orchestra;Roll Over Beethoven;;;;;;;;;;;;Electric Light Orchestra;*Roll Over Beethoven
Ella Fitzgerald & Louis Armstrong;Let's Call The Whole Thing Off (Ella / Louis);;;;;;;;;;;;Ella Fitzgerald & Louis Armstrong;*Let's Call The Whole Thing Off (Ella / Louis)
Ellie Goulding;Animal;;;;;;;;;;;;Ellie Goulding;*Animal
Ellie Goulding;Anything Could Happen;;;;;;;;;;;;Ellie Goulding;*Anything Could Happen
Ellie Goulding;Burn;;;;;;;;;;;;Ellie Goulding;*Burn
Ellie Goulding;Every Time You Go;;;;;;;;;;;;Ellie Goulding;*Every Time You Go
Ellie Goulding;Hanging On (Edit);;;;;;;;;;;;Ellie Goulding;*Hanging On (Edit)
Ellie Goulding;Lights;;;;;;;;;;;;Ellie Goulding;*Lights
Ellie Goulding;Love Me Like You Do;;;;;;;;;;;;Ellie Goulding;*Love Me Like You Do
Ellie Goulding;My Blood;;;;;;;;;;;;Ellie Goulding;*My Blood
Ellie Goulding;On My Mind;;;;;;;;;;;;Ellie Goulding;*On My Mind
Ellie Goulding;Something In The Way You Move;;;;;;;;;;;;Ellie Goulding;*Something In The Way You Move
Ellie Goulding;Starry Eyed;;;;;;;;;;;;Ellie Goulding;*Starry Eyed
Ellie Goulding;This Love (Will Be Your Downfall);;;;;;;;;;;;Ellie Goulding;*This Love (Will Be Your Downfall)
Ellie Goulding;Under The Sheets;;;;;;;;;;;;Ellie Goulding;*Under The Sheets
Ellie Goulding ft. DJ Fresh;Flashlight;;;;;;;;;;;;Ellie Goulding ft. DJ Fresh;*Flashlight
Elton John;Can you feel the love tonight;;;;;;;;;;;;Elton John;*Can you feel the love tonight
Elton John;Candle in the wind;;;;;;;;;;;;Elton John;*Candle in the wind
Elton John;Crocodile Rock;;;;;;;;;;;;Elton John;*Crocodile Rock
Elton John;I Guess That's Why They Call It The Blues;;;;;;;;;;;;Elton John;*I Guess That's Why They Call It The Blues
Elton John;I'm Still Standing;;;;;;;;;;;;Elton John;*I'm Still Standing
Elton John;Nikita;;;;;;;;;;;;Elton John;*Nikita
Elton John;Rocket Man;;;;;;;;;;;;Elton John;*Rocket Man
Elton John;Sacrifice;;;;;;;;;;;;Elton John;*Sacrifice
Elton John;Sad songs (say so much);;;;;;;;;;;;Elton John;*Sad songs (say so much)
Elton John;Sorry Seems to be the Hardest Word;;;;;;;;;;;;Elton John;*Sorry Seems to be the Hardest Word
Elton John;Your song;;;;;;;;;;;;Elton John;*Your song
Elton John & George Michael;Don't Let the Sun Go Down on Me (+ duet);;;;;;;;;;;;Elton John & George Michael;*Don't Let the Sun Go Down on Me (+ duet)
Elton John & Kiki Dee;Don't Go Breaking My Heart;;;;;;;;;;;;Elton John & Kiki Dee;*Don't Go Breaking My Heart
Elton John and Dua Lipa;Cold Heart (+ duet);;;;;;;;;;;;Elton John and Dua Lipa;*Cold Heart (+ duet)
Elvis Costello;She;;;;;;;;;;;;Elvis Costello;*She
Elvis Presley;Blue Christmas;;;;;;;;;;;;Elvis Presley;*Blue Christmas
Elvis Presley;Blue Suede Shoes;;;;;;;;;;;;Elvis Presley;*Blue Suede Shoes
Elvis Presley;Can't help falling in love;;;;;;;;;;;;Elvis Presley;*Can't help falling in love
Elvis Presley;C'mon Everybody;;;;;;;;;;;;Elvis Presley;*C'mon Everybody
Elvis Presley;Don't Be Cruel;;;;;;;;;;;;Elvis Presley;*Don't Be Cruel
Elvis Presley;Hound Dog;;;;;;;;;;;;Elvis Presley;*Hound Dog
Elvis Presley;It's now or never;;;;;;;;;;;;Elvis Presley;*It's now or never
Elvis Presley;Jailhouse Rock;;;;;;;;;;;;Elvis Presley;*Jailhouse Rock
Elvis Presley;Love Me Tender;;;;;;;;;;;;Elvis Presley;*Love Me Tender
Elvis Presley;Return to sender;;;;;;;;;;;;Elvis Presley;*Return to sender
Elvis Presley;Such a night;;;;;;;;;;;;Elvis Presley;*Such a night
Elvis Presley;Suspicious minds;;;;;;;;;;;;Elvis Presley;*Suspicious minds
Elvis Presley;Viva Las Vegas;;;;;;;;;;;;Elvis Presley;*Viva Las Vegas
Elvis Presley;Way Down;;;;;;;;;;;;Elvis Presley;*Way Down
Elvis Presley;You were always on my mind;;;;;;;;;;;;Elvis Presley;*You were always on my mind
Emeli Sandé;Heaven;;;;;;;;;;;;Emeli Sandé;*Heaven
Emeli Sandé;Next To Me;;;;;;;;;;;;Emeli Sandé;*Next To Me
EMF;Unbelievable;;;;;;;;;;;;EMF;*Unbelievable
Emilia;Big Big World;;;;;;;;;;;;Emilia;*Big Big World
Eminem;Lose yourself;;;;;;;;;;;;Eminem;*Lose yourself
Eminem;Stan;;;;;;;;;;;;Eminem;*Stan
Eminem & Rihanna;The Monster;;;;;;;;;;;;Eminem & Rihanna;*The Monster
Eminem ft. Rihanna;Love The Way You Lie;;;;;;;;;;;;Eminem ft. Rihanna;*Love The Way You Lie
En Vogue;Free Your Mind;;;;;;;;;;;;En Vogue;*Free Your Mind
En Vogue;My Lovin' (Never Gonna Get It);;;;;;;;;;;;En Vogue;*My Lovin' (Never Gonna Get It)
Encanto;We don't talk about Bruno (+ duet);;;;;;;;;;;;Encanto;*We don't talk about Bruno (+ duet)
Enigma;Return to innocence;;;;;;;;;;;;Enigma;*Return to innocence
